0.01969,0.02317,-0.01509,0.01533,-0.007547
-0.003802,0E+1,0.02290,0.003731,-0.007435
0E+1,0E+1,0E+1,0.01124,-0.007407
-0.01119,-0.01887,-0.007692,0E+1,0.007752
-0.003846,0.003861,0.003846,-0.01149,-0.007752
-0.01562,0.003968,-0.003953,0.01190,0E+1
-0.003922,0.003937,-0.003922,-0.01181,0.003984
-0.01190,0.004016,-0.004,0.01606,-0.003953
-0.01984,-0.02834,-0.008333,-0.004202,-0.03376
0.004367,-0.04348,0.02727,0.008850,0.01754
0E+1,0E+1,-0.02586,-0.02212,-0.01357
0.009174,0E+1,-0.02727,-0.09346,0.005155
-0.005128,-0.06186,0E+1,0E+1,0.02747
0.01906,0.008503,-0.01686,0.02058,-0.02857
-0.005190,-0.001739,-0.01220,0.008818,0.01224
0.003454,-0.006885,0E+1,0E+1,-0.005199
-0.01045,-0.008803,0.01066,0.007030,0.006981
0.01040,-0.001715,-0.01031,-0.01562,-0.005291
-0.02128,-0.02717,0.02421,-0.001818,0.005464
0E+1,-0.005435,-0.01275,0.05535,-0.01224
-0.02655,0.005455,0.001808,0.01264,-0.01604
-0.01449,-0.01103,-0.02974,0.001916,-0.01338
-0.003876,-0.01167,0.04134,0.009452,0.02247
-0.02198,-0.001873,-0.03002,-0.01741,-0.001969
0.001972,-0.007874,-0.03571,0.01440,0.006085
-0.02016,-0.02469,0.01266,0.002083,0.006237
0.02988,-0.01762,0.002110,-0.008421,0.005308
0.001056,-0.01371,0.003209,-0.01919,0.005435
-0.003243,0E+1,-0.002169,-0.007609,0.009858
0.01627,0.01281,0E+1,0E+1,-0.005269
-0.04873,-0.1002,0.007426,0E+1,0.009828
-0.01217,-0.01478,0.025,0.02439,0.01786
0.01170,-0.008092,0.003497,-0.003484,-0.006993
-0.002347,0.01176,-0.1,-0.09948,-0.1004
-0.1005,-0.09929,-0.1004,-0.1007,-0.09976
-0.1,-0.02402,-0.003077,0.02160,0.03021
-0.02933,0.009063,-0.04491,-0.05643,0.02990
-0.03226,-0.04,-0.08333,0.03030,-0.05515
